"","prop","strength","tr.size","monophyly","chisq.p.value","topo.dist","trlen.dist","sd.trlen.dist"
"1","null","null","32","0","0.6020384822933","0.2","-0.00585828459540093","0.0138655368938579"
"2","null","null","64","0","0.431511561543324","1.4","0.00404418999278226","0.0140402659241678"
"3","eighth","mild","32","0","0","0.8","-0.0509746097890296","0.0226265774393555"
"4","eighth","mild","64","0","0","2","-0.0654678155764048","0.0314201139644831"
"5","eighth","strong","32","0","0","0.8","-0.0567883908559896","0.0211977755495327"
"6","eighth","strong","64","0","0","2.2","-0.0840063757763131","0.0253966288974927"
"7","eighth","strongest","32","0","0","0.6","-0.227995283643295","0.146824681532855"
"8","eighth","strongest","64","0","0","2.4","-0.186398850380549","0.0537427265224896"
"9","half","mild","32","0","0","0.2","-0.246623306671075","0.0225748725130293"
"10","half","mild","64","0","0","1.8","-0.248049688597387","0.0309289652818724"
"11","half","strong","32","0","0","0.2","-0.31792706975809","0.0261149555351614"
"12","half","strong","64","0","0","2.2","-0.364050874645762","0.0220082726861741"
"13","half","strongest","32","0","0","2.8","-0.787251025551209","0.201391461808181"
"14","half","strongest","64","0.1","0","3.8","-0.629390826816363","0.06205170596259"
